Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite9,,,,24-05-2024 12:27:10,24-05-2024 12:28:36,1m - 26.071s,FAILED
,,,,,,,
Test Cases/TestCase1,,,,24-05-2024 12:27:25,24-05-2024 12:27:27,2.287s,FAILED
"openBrowser("""")",,,,24-05-2024 12:27:25,24-05-2024 12:27:27,2.237s,FAILED
,,,,,,,
Test Cases/TestCase2,,,,24-05-2024 12:27:35,24-05-2024 12:27:37,2.581s,FAILED
"openBrowser("""")",,,,24-05-2024 12:27:35,24-05-2024 12:27:37,2.532s,FAILED
,,,,,,,
Test Cases/TestCase3,,,,24-05-2024 12:27:45,24-05-2024 12:27:48,2.442s,FAILED
"openBrowser("""")",,,,24-05-2024 12:27:45,24-05-2024 12:27:48,2.376s,FAILED
,,,,,,,
Test Cases/TestCase4,,,,24-05-2024 12:27:54,24-05-2024 12:27:56,1.969s,FAILED
"openBrowser("""")",,,,24-05-2024 12:27:54,24-05-2024 12:27:56,1.949s,FAILED
,,,,,,,
Test Cases/TestCase5,,,,24-05-2024 12:28:01,24-05-2024 12:28:03,1.753s,FAILED
"openBrowser("""")",,,,24-05-2024 12:28:01,24-05-2024 12:28:03,1.733s,FAILED
,,,,,,,
Test Cases/TestCase6,,,,24-05-2024 12:28:10,24-05-2024 12:28:12,2.083s,FAILED
"openBrowser("""")",,,,24-05-2024 12:28:10,24-05-2024 12:28:12,2.056s,FAILED
,,,,,,,
Test Cases/TestCase7,,,,24-05-2024 12:28:19,24-05-2024 12:28:22,2.427s,FAILED
"openBrowser("""")",,,,24-05-2024 12:28:19,24-05-2024 12:28:22,2.404s,FAILED
,,,,,,,
Test Cases/TestCase8,,,,24-05-2024 12:28:27,24-05-2024 12:28:29,1.697s,FAILED
"openBrowser("""")",,,,24-05-2024 12:28:27,24-05-2024 12:28:29,1.679s,FAILED
,,,,,,,
Test Cases/TestCase9,,,,24-05-2024 12:28:34,24-05-2024 12:28:36,1.679s,FAILED
"openBrowser("""")",,,,24-05-2024 12:28:34,24-05-2024 12:28:36,1.658s,FAILED
