Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite7,Edge Chromium 124,,,18-05-2024 14:38:45,18-05-2024 14:41:27,2m - 41.571s,PASSED
,,,,,,,
Test Cases/TestCase1,Edge Chromium 124,,,18-05-2024 14:38:46,18-05-2024 14:39:29,43.318s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 14:38:47,18-05-2024 14:39:17,30.881s,PASSED
closeBrowser(),Edge Chromium 124,,,18-05-2024 14:39:17,18-05-2024 14:39:29,11.400s,PASSED
,,,,,,,
Test Cases/TestCase2,Edge Chromium 124,,,18-05-2024 14:39:29,18-05-2024 14:40:05,36.530s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 14:39:29,18-05-2024 14:39:41,12.320s,PASSED
closeBrowser(),Edge Chromium 124,,,18-05-2024 14:39:41,18-05-2024 14:40:05,24.071s,PASSED
,,,,,,,
Test Cases/TestCase3,Edge Chromium 124,,,18-05-2024 14:40:05,18-05-2024 14:40:24,18.607s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 14:40:05,18-05-2024 14:40:22,16.050s,PASSED
closeBrowser(),Edge Chromium 124,,,18-05-2024 14:40:22,18-05-2024 14:40:24,2.503s,PASSED
,,,,,,,
Test Cases/TestCase4,Edge Chromium 124,,,18-05-2024 14:40:24,18-05-2024 14:40:39,14.945s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 14:40:24,18-05-2024 14:40:34,10.102s,PASSED
closeBrowser(),Edge Chromium 124,,,18-05-2024 14:40:34,18-05-2024 14:40:39,4.702s,PASSED
,,,,,,,
Test Cases/TestCase5,Edge Chromium 124,,,18-05-2024 14:40:39,18-05-2024 14:40:58,19.415s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 14:40:39,18-05-2024 14:40:52,12.983s,PASSED
closeBrowser(),Edge Chromium 124,,,18-05-2024 14:40:52,18-05-2024 14:40:58,6.391s,PASSED
,,,,,,,
Test Cases/TestCase6,Edge Chromium 124,,,18-05-2024 14:40:58,18-05-2024 14:41:13,14.346s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 14:40:58,18-05-2024 14:41:11,12.623s,PASSED
closeBrowser(),Edge Chromium 124,,,18-05-2024 14:41:11,18-05-2024 14:41:13,1.688s,PASSED
,,,,,,,
Test Cases/TestCase7,Edge Chromium 124,,,18-05-2024 14:41:13,18-05-2024 14:41:27,13.746s,PASSED
"openBrowser("""")",Edge Chromium 124,,,18-05-2024 14:41:13,18-05-2024 14:41:21,8.575s,PASSED
closeBrowser(),Edge Chromium 124,,,18-05-2024 14:41:21,18-05-2024 14:41:27,5.132s,PASSED
