Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite10,,,,24-05-2024 11:07:14,24-05-2024 11:08:09,55.409s,FAILED
,,,,,,,
Test Cases/TestCase1,,,,24-05-2024 11:07:21,24-05-2024 11:07:23,1.220s,FAILED
"openBrowser("""")",,,,24-05-2024 11:07:21,24-05-2024 11:07:23,1.198s,FAILED
,,,,,,,
Test Cases/TestCase10,,,,24-05-2024 11:07:26,24-05-2024 11:07:28,1.207s,FAILED
"openBrowser("""")",,,,24-05-2024 11:07:26,24-05-2024 11:07:28,1.189s,FAILED
,,,,,,,
Test Cases/TestCase2,,,,24-05-2024 11:07:32,24-05-2024 11:07:33,1.297s,FAILED
"openBrowser("""")",,,,24-05-2024 11:07:32,24-05-2024 11:07:33,1.270s,FAILED
,,,,,,,
Test Cases/TestCase3,,,,24-05-2024 11:07:37,24-05-2024 11:07:38,1.274s,FAILED
"openBrowser("""")",,,,24-05-2024 11:07:37,24-05-2024 11:07:38,1.252s,FAILED
,,,,,,,
Test Cases/TestCase4,,,,24-05-2024 11:07:42,24-05-2024 11:07:43,1.317s,FAILED
"openBrowser("""")",,,,24-05-2024 11:07:42,24-05-2024 11:07:43,1.296s,FAILED
,,,,,,,
Test Cases/TestCase5,,,,24-05-2024 11:07:47,24-05-2024 11:07:49,1.426s,FAILED
"openBrowser("""")",,,,24-05-2024 11:07:47,24-05-2024 11:07:49,1.408s,FAILED
,,,,,,,
Test Cases/TestCase7,,,,24-05-2024 11:07:53,24-05-2024 11:07:54,1.263s,FAILED
"openBrowser("""")",,,,24-05-2024 11:07:53,24-05-2024 11:07:54,1.246s,FAILED
,,,,,,,
Test Cases/TestCase6,,,,24-05-2024 11:07:58,24-05-2024 11:07:59,1.296s,FAILED
"openBrowser("""")",,,,24-05-2024 11:07:58,24-05-2024 11:07:59,1.279s,FAILED
,,,,,,,
Test Cases/TestCase8,,,,24-05-2024 11:08:03,24-05-2024 11:08:04,1.254s,FAILED
"openBrowser("""")",,,,24-05-2024 11:08:03,24-05-2024 11:08:04,1.235s,FAILED
,,,,,,,
Test Cases/TestCase9,,,,24-05-2024 11:08:08,24-05-2024 11:08:09,1.222s,FAILED
"openBrowser("""")",,,,24-05-2024 11:08:08,24-05-2024 11:08:09,1.205s,FAILED
