Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SauceDemo,Chrome 125.0.0.0,,,25-05-2024 20:57:20,25-05-2024 20:58:51,1m - 31.635s,PASSED
,,,,,,,
Test Cases/verifyLoginBtn,Chrome 125.0.0.0,,,25-05-2024 20:57:20,25-05-2024 20:57:32,11.766s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 20:57:20,25-05-2024 20:57:28,7.686s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 20:57:28,25-05-2024 20:57:29,1.398s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""), 0)",Chrome 125.0.0.0,,,25-05-2024 20:57:29,25-05-2024 20:57:30,0.669s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,25-05-2024 20:57:30,25-05-2024 20:57:32,1.565s,PASSED
,,,,,,,
Test Cases/verifyTitle,Chrome 125.0.0.0,,,25-05-2024 20:57:32,25-05-2024 20:57:39,7.519s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 20:57:32,25-05-2024 20:57:36,4.384s,PASSED
"navigateToUrl(""http://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 20:57:36,25-05-2024 20:57:38,1.718s,PASSED
title = getWindowTitle(),Chrome 125.0.0.0,,,25-05-2024 20:57:38,25-05-2024 20:57:38,0.070s,PASSED
"verifyEqual(title, ""Swag Labs"")",Chrome 125.0.0.0,,,25-05-2024 20:57:38,25-05-2024 20:57:38,0.118s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,25-05-2024 20:57:38,25-05-2024 20:57:39,0.942s,PASSED
,,,,,,,
Test Cases/verifyURL,Chrome 125.0.0.0,,,25-05-2024 20:57:39,25-05-2024 20:57:46,7.234s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 20:57:40,25-05-2024 20:57:44,4.694s,PASSED
"navigateToUrl(""http://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 20:57:44,25-05-2024 20:57:46,1.388s,PASSED
url = getUrl(),Chrome 125.0.0.0,,,25-05-2024 20:57:46,25-05-2024 20:57:46,0.040s,PASSED
"verifyEqual(url, ""https://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 20:57:46,25-05-2024 20:57:46,0.004s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,25-05-2024 20:57:46,25-05-2024 20:57:46,0.673s,PASSED
,,,,,,,
Test Cases/verifyUsername,Chrome 125.0.0.0,,,25-05-2024 20:57:46,25-05-2024 20:57:54,7.531s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 20:57:47,25-05-2024 20:57:51,4.449s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 20:57:51,25-05-2024 20:57:52,1.516s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Swag Labs/div_Accepted usernames are                s_40dcc1""), 0)",Chrome 125.0.0.0,,,25-05-2024 20:57:52,25-05-2024 20:57:53,0.288s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,25-05-2024 20:57:53,25-05-2024 20:57:54,1.094s,PASSED
,,,,,,,
Test Cases/verifyPassword,Chrome 125.0.0.0,,,25-05-2024 20:57:54,25-05-2024 20:58:01,7.526s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 20:57:54,25-05-2024 20:57:59,4.760s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 20:57:59,25-05-2024 20:58:00,1.379s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Swag Labs/div_Password for all users                s_477655""), 0)",Chrome 125.0.0.0,,,25-05-2024 20:58:00,25-05-2024 20:58:01,0.239s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,25-05-2024 20:58:01,25-05-2024 20:58:01,0.827s,PASSED
,,,,,,,
Test Cases/VerifyLogin,Chrome 125.0.0.0,,,25-05-2024 20:58:01,25-05-2024 20:58:11,9.598s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 20:58:02,25-05-2024 20:58:07,4.929s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 20:58:07,25-05-2024 20:58:08,1.033s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Chrome 125.0.0.0,,,25-05-2024 20:58:08,25-05-2024 20:58:08,0.494s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 125.0.0.0,,,25-05-2024 20:58:08,25-05-2024 20:58:08,0.407s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Chrome 125.0.0.0,,,25-05-2024 20:58:08,25-05-2024 20:58:10,1.377s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Swag Labs/div_Products""), ""Products"")",Chrome 125.0.0.0,,,25-05-2024 20:58:10,25-05-2024 20:58:10,0.310s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,25-05-2024 20:58:10,25-05-2024 20:58:11,0.836s,PASSED
,,,,,,,
Test Cases/VerifyInvalidLogin,Chrome 125.0.0.0,,,25-05-2024 20:58:11,25-05-2024 20:58:18,6.975s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 20:58:11,25-05-2024 20:58:16,4.682s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 20:58:16,25-05-2024 20:58:17,0.836s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Chrome 125.0.0.0,,,25-05-2024 20:58:17,25-05-2024 20:58:17,0.333s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""wwqXy82vnkA="")",Chrome 125.0.0.0,,,25-05-2024 20:58:17,25-05-2024 20:58:17,0.145s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Chrome 125.0.0.0,,,25-05-2024 20:58:17,25-05-2024 20:58:17,0.119s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Swag Labs/h3_Epic sadface Username and password do no_0e8909""), ""Epic sadface: Username and password do not match any user in this service"")",Chrome 125.0.0.0,,,25-05-2024 20:58:17,25-05-2024 20:58:18,0.104s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,25-05-2024 20:58:18,25-05-2024 20:58:18,0.410s,PASSED
,,,,,,,
Test Cases/VerifyBlankPassword,Chrome 125.0.0.0,,,25-05-2024 20:58:18,25-05-2024 20:58:26,8.139s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 20:58:18,25-05-2024 20:58:23,5.130s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 20:58:23,25-05-2024 20:58:24,1.095s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Chrome 125.0.0.0,,,25-05-2024 20:58:24,25-05-2024 20:58:25,0.428s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Chrome 125.0.0.0,,,25-05-2024 20:58:25,25-05-2024 20:58:25,0.265s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Swag Labs/h3_Epic sadface Password is required""), ""Epic sadface: Password is required"")",Chrome 125.0.0.0,,,25-05-2024 20:58:25,25-05-2024 20:58:25,0.233s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,25-05-2024 20:58:25,25-05-2024 20:58:26,0.854s,PASSED
,,,,,,,
Test Cases/verifyBlankUsernamePassword,Chrome 125.0.0.0,,,25-05-2024 20:58:26,25-05-2024 20:58:34,8.009s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 20:58:26,25-05-2024 20:58:31,4.869s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 20:58:31,25-05-2024 20:58:32,1.110s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Chrome 125.0.0.0,,,25-05-2024 20:58:32,25-05-2024 20:58:33,0.186s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Swag Labs/h3_Epic sadface Username is required""), ""Epic sadface: Username is required"")",Chrome 125.0.0.0,,,25-05-2024 20:58:33,25-05-2024 20:58:33,0.130s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,25-05-2024 20:58:33,25-05-2024 20:58:34,1.378s,PASSED
,,,,,,,
Test Cases/verifyTwitterLink,Chrome 125.0.0.0,,,25-05-2024 20:58:34,25-05-2024 20:58:43,8.556s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 20:58:35,25-05-2024 20:58:40,4.966s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/"")",Chrome 125.0.0.0,,,25-05-2024 20:58:40,25-05-2024 20:58:40,0.892s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""problem_user"")",Chrome 125.0.0.0,,,25-05-2024 20:58:40,25-05-2024 20:58:41,0.468s,PASSED
